,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7,Block 8,Block 9,Block 10,Block 11,Block 12,Block 13,Block 14,Block 15,Block 16,Block 17,Block 18,Block 19,Block 20,Block 21,Block 22,Block 23,Block 24,Block 25,Block 26,Block 27,Block 28,Block 29,Block 30,Block 31,Block 32,W/P 1,W/P 2,W/P 3,W/P 4,W/P 5,W/P 6,W/P 7
Block 20,55,14,27,84,12,43,31,30,19,98,75,50,94,77,71,26,41,45,89,0,2,7,77,99,85,1,17,14,22,12,30,3,84,5,7,66,89,11,68
Block 21,10,88,73,52,40,65,49,87,48,77,40,87,65,89,97,97,14,90,36,23,0,23,99,67,50,35,61,75,85,46,71,71,5,45,41,85,34,82,87
Block 22,60,7,74,63,60,97,35,87,8,90,24,4,35,57,84,98,67,44,84,60,34,0,54,55,79,45,74,52,91,79,58,54,74,64,32,69,29,84,39
Block 23,96,7,18,2,69,2,76,23,83,48,50,51,80,71,5,51,97,48,96,11,45,30,0,18,45,57,16,33,46,2,80,43,41,85,69,67,39,20,92
Block 24,30,82,32,4,2,85,75,55,82,81,32,74,4,99,30,25,20,19,81,12,2,53,1,0,3,13,69,79,31,78,87,92,1,66,41,51,28,50,49
Block 25,99,87,82,40,97,66,26,12,93,94,73,61,18,36,29,11,98,70,88,8,10,22,92,98,0,12,15,1,9,100,56,53,63,73,68,17,100,29,65
Block 26,42,3,15,85,63,15,51,53,69,74,32,52,37,2,36,91,20,59,18,36,14,39,16,8,4,0,38,97,53,72,89,47,10,86,70,86,7,27,99
Block 27,27,59,18,52,10,86,50,58,33,94,22,84,56,3,30,61,97,51,90,64,7,42,6,21,9,6,0,24,92,66,75,47,48,44,56,58,26,48,51
Block 28,8,13,95,96,30,62,14,96,25,74,41,17,61,38,47,29,81,93,78,98,30,9,18,44,15,66,30,0,95,64,18,25,24,1,14,99,62,31,22
Block 29,72,80,52,58,26,68,71,2,26,63,72,85,59,11,40,86,64,21,68,26,88,78,48,17,65,25,58,89,0,21,52,12,62,36,72,24,50,66,73
Block 30,12,80,16,7,75,9,95,45,81,5,64,61,17,9,11,76,43,18,86,88,4,49,90,70,79,40,22,91,36,0,30,34,93,59,12,46,84,41,33
Block 31,46,56,92,75,29,63,46,4,61,12,84,52,98,82,60,33,100,45,65,40,98,94,84,42,14,16,48,29,32,18,0,13,81,58,48,8,95,74,65
Block 32,70,25,1,62,89,21,82,95,57,91,86,39,96,81,54,27,90,16,54,93,92,16,38,93,99,73,87,9,51,99,19,0,98,74,67,35,88,57,73
W/P 1,54,21,28,9,30,7,72,98,14,47,68,17,36,23,82,47,17,85,33,14,96,37,77,53,22,25,36,15,30,6,28,41,0,22,17,23,99,65,39
W/P 2,71,9,100,34,45,51,24,98,43,39,5,86,16,64,38,72,45,99,1,51,51,18,3,16,66,46,41,87,79,69,88,77,41,0,71,35,46,24,18
W/P 3,79,70,92,53,30,80,35,96,57,80,59,15,92,55,93,40,99,11,5,22,29,22,60,80,53,57,70,55,87,47,2,58,52,67,0,85,46,80,61
W/P 4,54,97,30,22,49,48,23,100,2,55,78,93,55,82,13,72,78,54,21,75,66,25,76,13,67,54,7,3,34,51,97,89,52,50,31,0,12,50,39
W/P 5,92,37,61,80,48,40,76,74,31,63,20,91,10,14,87,19,73,3,92,55,96,79,100,3,10,33,94,41,71,36,6,5,98,56,44,16,0,25,18
W/P 6,20,20,26,12,94,10,82,49,56,53,16,55,94,16,5,27,64,92,69,36,27,61,24,82,7,97,5,83,27,99,36,32,83,97,9,84,3,0,20
W/P 7,29,91,7,43,9,39,6,28,32,4,85,62,34,19,98,40,22,38,38,13,32,47,44,23,44,96,63,38,24,75,31,79,46,29,18,33,53,21,0
