Container Job,T_j,Source,Destination
2176,00:33:00,Block 24,W/P 5
736,00:33:00,Block 28,W/P 1
1456,00:33:00,W/P 5,Block 10
17,00:34:00,W/P 6,Block 32
2177,00:35:00,Block 5,W/P 7
2897,00:35:00,Block 19,W/P 7
737,00:35:00,Block 27,W/P 3
1457,00:35:00,Block 1,W/P 2
18,00:36:00,Block 27,W/P 5
1458,00:37:00,Block 1,W/P 1
738,00:37:00,W/P 7,Block 31
2178,00:37:00,Block 10,W/P 1
2898,00:37:00,Block 4,W/P 6
19,00:38:00,W/P 2,Block 28
1459,00:39:00,Block 19,W/P 6
2899,00:39:00,Block 21,W/P 2
2179,00:39:00,Block 23,W/P 1
739,00:39:00,Block 16,W/P 3
20,00:40:00,Block 21,W/P 1
2900,00:41:00,W/P 1,Block 5
740,00:41:00,Block 29,W/P 6
1460,00:41:00,Block 23,W/P 5
2180,00:41:00,Block 3,W/P 2
21,00:42:00,Block 27,W/P 4
2181,00:43:00,W/P 1,Block 10
741,00:43:00,W/P 1,Block 16
2901,00:43:00,Block 1,W/P 2
1461,00:43:00,Block 9,W/P 7
22,00:44:00,Block 27,W/P 1
1462,00:45:00,Block 14,W/P 1
2902,00:45:00,Block 3,W/P 4
742,00:45:00,W/P 4,Block 23
2182,00:45:00,W/P 1,Block 18
23,00:46:00,Block 14,W/P 5
2183,00:47:00,Block 14,W/P 1
1463,00:47:00,Block 7,W/P 1
743,00:47:00,Block 25,W/P 2
2903,00:47:00,W/P 6,Block 5
24,00:48:00,Block 5,W/P 5
1464,00:49:00,Block 7,W/P 1
2904,00:49:00,Block 19,W/P 3
2184,00:49:00,Block 7,W/P 1
744,00:49:00,Block 21,W/P 6
25,00:50:00,Block 8,W/P 4
1465,00:51:00,Block 1,W/P 5
745,00:51:00,Block 21,W/P 4
2905,00:51:00,W/P 4,Block 11
2185,00:51:00,Block 2,W/P 2
26,00:52:00,Block 5,W/P 3
2186,00:53:00,Block 3,W/P 4
1466,00:53:00,Block 10,W/P 7
746,00:53:00,Block 10,W/P 5
2906,00:53:00,Block 26,W/P 1
27,00:54:00,Block 11,W/P 1
2187,00:55:00,Block 31,W/P 1
1467,00:55:00,Block 24,W/P 1
747,00:55:00,Block 26,W/P 2
2907,00:55:00,W/P 3,Block 29
28,00:56:00,Block 28,W/P 3
2188,00:57:00,Block 12,W/P 3
1468,00:57:00,W/P 4,Block 30
748,00:57:00,W/P 2,Block 28
2908,00:57:00,W/P 6,Block 5
29,00:58:00,Block 2,W/P 4
1469,00:59:00,W/P 5,Block 15
749,00:59:00,Block 15,W/P 4
2189,00:59:00,Block 17,W/P 6
2909,00:59:00,Block 7,W/P 3
30,01:00:00,W/P 7,Block 9
750,01:01:00,Block 17,W/P 2
1470,01:01:00,W/P 3,Block 27
2190,01:01:00,Block 14,W/P 4
2910,01:01:00,Block 13,W/P 4
31,01:02:00,W/P 4,Block 10
751,01:03:00,Block 29,W/P 1
2191,01:03:00,Block 10,W/P 5
1471,01:03:00,Block 16,W/P 6
2911,01:03:00,Block 29,W/P 6
32,01:04:00,Block 16,W/P 4
2912,01:05:00,Block 17,W/P 5
752,01:05:00,W/P 2,Block 8
1472,01:05:00,Block 22,W/P 2
2192,01:05:00,Block 7,W/P 6
33,01:06:00,Block 29,W/P 7
753,01:07:00,Block 23,W/P 6
1473,01:07:00,W/P 2,Block 5
2193,01:07:00,Block 31,W/P 1
2913,01:07:00,Block 24,W/P 6
34,01:08:00,Block 32,W/P 1
2194,01:09:00,Block 20,W/P 4
1474,01:09:00,Block 5,W/P 5
2914,01:09:00,Block 26,W/P 2
754,01:09:00,Block 2,W/P 5
35,01:10:00,Block 10,W/P 1
2195,01:11:00,Block 16,W/P 2
2915,01:11:00,Block 30,W/P 7
755,01:11:00,Block 27,W/P 3
1475,01:11:00,W/P 6,Block 25
36,01:12:00,Block 19,W/P 4
2196,01:13:00,Block 25,W/P 1
756,01:13:00,W/P 2,Block 15
1476,01:13:00,W/P 5,Block 1
2916,01:13:00,Block 12,W/P 4
37,01:14:00,Block 24,W/P 3
757,01:15:00,Block 22,W/P 2
1477,01:15:00,Block 4,W/P 1
2917,01:15:00,Block 13,W/P 2
2197,01:15:00,Block 14,W/P 4
38,01:16:00,W/P 4,Block 10
2918,01:17:00,Block 10,W/P 6
758,01:17:00,Block 14,W/P 2
1478,01:17:00,W/P 5,Block 6
2198,01:17:00,W/P 1,Block 29
39,01:18:00,W/P 6,Block 5
2199,01:19:00,Block 8,W/P 6
2919,01:19:00,Block 2,W/P 5
1479,01:19:00,Block 8,W/P 6
759,01:19:00,Block 28,W/P 4
40,01:20:00,Block 2,W/P 3
2920,01:21:00,Block 1,W/P 2
760,01:21:00,Block 9,W/P 2
2200,01:21:00,Block 9,W/P 5
1480,01:21:00,Block 23,W/P 5
41,01:22:00,W/P 4,Block 32
1481,01:23:00,Block 3,W/P 7
2201,01:23:00,Block 19,W/P 6
2921,01:23:00,Block 20,W/P 7
761,01:23:00,Block 6,W/P 6
42,01:24:00,Block 7,W/P 2
762,01:25:00,Block 9,W/P 5
2202,01:25:00,W/P 1,Block 3
2922,01:25:00,Block 27,W/P 1
1482,01:25:00,Block 31,W/P 7
43,01:26:00,Block 22,W/P 3
763,01:27:00,Block 8,W/P 1
2203,01:27:00,Block 27,W/P 7
2923,01:27:00,Block 2,W/P 5
1483,01:27:00,W/P 5,Block 26
44,01:28:00,W/P 4,Block 25
2204,01:29:00,Block 20,W/P 7
2924,01:29:00,Block 1,W/P 4
764,01:29:00,Block 22,W/P 5
1484,01:29:00,Block 9,W/P 2
45,01:30:00,Block 16,W/P 5
2925,01:31:00,Block 8,W/P 6
765,01:31:00,Block 20,W/P 3
2205,01:31:00,Block 19,W/P 3
1485,01:31:00,W/P 1,Block 20
46,01:32:00,W/P 4,Block 7
1486,01:33:00,Block 22,W/P 7
766,01:33:00,W/P 3,Block 3
2206,01:33:00,W/P 1,Block 20
2926,01:33:00,Block 15,W/P 7
47,01:34:00,Block 27,W/P 4
2927,01:35:00,Block 2,W/P 1
767,01:35:00,Block 4,W/P 2
1487,01:35:00,Block 16,W/P 4
2207,01:35:00,Block 14,W/P 4
48,01:36:00,W/P 2,Block 12
2928,01:37:00,Block 23,W/P 2
1488,01:37:00,Block 26,W/P 6
768,01:37:00,Block 18,W/P 1
2208,01:37:00,W/P 6,Block 5
49,01:38:00,W/P 4,Block 29
769,01:39:00,Block 5,W/P 1
1489,01:39:00,Block 7,W/P 4
2929,01:39:00,W/P 5,Block 11
2209,01:39:00,Block 19,W/P 7
50,01:40:00,Block 30,W/P 2
770,01:41:00,W/P 4,Block 2
1490,01:41:00,Block 16,W/P 4
2210,01:41:00,Block 5,W/P 6
2930,01:41:00,Block 5,W/P 4
51,01:42:00,Block 18,W/P 3
2211,01:43:00,W/P 3,Block 5
2931,01:43:00,Block 1,W/P 1
1491,01:43:00,Block 30,W/P 5
771,01:43:00,Block 6,W/P 5
52,01:44:00,Block 3,W/P 6
1492,01:45:00,Block 5,W/P 6
2212,01:45:00,Block 19,W/P 3
772,01:45:00,Block 28,W/P 4
2932,01:45:00,W/P 5,Block 13
53,01:46:00,Block 17,W/P 3
773,01:47:00,Block 27,W/P 7
2213,01:47:00,Block 4,W/P 4
2933,01:47:00,Block 1,W/P 7
1493,01:47:00,W/P 6,Block 15
54,01:48:00,Block 27,W/P 3
1494,01:49:00,Block 18,W/P 2
774,01:49:00,Block 9,W/P 1
2214,01:49:00,Block 10,W/P 2
2934,01:49:00,Block 9,W/P 3
55,01:50:00,Block 2,W/P 1
2215,01:51:00,Block 7,W/P 5
1495,01:51:00,W/P 4,Block 13
2935,01:51:00,Block 27,W/P 4
775,01:51:00,Block 27,W/P 7
56,01:52:00,Block 15,W/P 4
2216,01:53:00,Block 5,W/P 4
2936,01:53:00,Block 20,W/P 1
1496,01:53:00,W/P 3,Block 26
776,01:53:00,Block 21,W/P 2
57,01:54:00,Block 15,W/P 7
1497,01:55:00,W/P 1,Block 19
777,01:55:00,Block 28,W/P 3
2937,01:55:00,Block 23,W/P 4
2217,01:55:00,Block 8,W/P 2
58,01:56:00,Block 14,W/P 2
778,01:57:00,Block 13,W/P 3
1498,01:57:00,W/P 4,Block 1
2938,01:57:00,W/P 7,Block 21
2218,01:57:00,Block 6,W/P 6
59,01:58:00,W/P 5,Block 21
2939,01:59:00,Block 6,W/P 7
1499,01:59:00,Block 14,W/P 5
779,01:59:00,Block 7,W/P 6
2219,01:59:00,W/P 3,Block 4
60,02:00:00,Block 4,W/P 3
780,02:01:00,Block 6,W/P 7
2940,02:01:00,Block 7,W/P 2
1500,02:01:00,Block 17,W/P 2
2220,02:01:00,Block 20,W/P 2
61,02:02:00,Block 31,W/P 7
781,02:03:00,Block 27,W/P 6
2221,02:03:00,Block 32,W/P 4
1501,02:03:00,Block 5,W/P 5
2941,02:03:00,Block 2,W/P 6
62,02:04:00,Block 21,W/P 3
782,02:05:00,Block 2,W/P 4
1502,02:05:00,Block 22,W/P 1
2942,02:05:00,Block 10,W/P 7
2222,02:05:00,Block 4,W/P 2
63,02:06:00,W/P 3,Block 9
783,02:07:00,W/P 2,Block 31
1503,02:07:00,Block 21,W/P 2
2223,02:07:00,W/P 4,Block 14
2943,02:07:00,W/P 6,Block 20
64,02:08:00,Block 20,W/P 7
2944,02:09:00,Block 12,W/P 3
784,02:09:00,Block 3,W/P 1
1504,02:09:00,W/P 2,Block 16
2224,02:09:00,Block 1,W/P 1
65,02:10:00,Block 15,W/P 7
2945,02:11:00,Block 12,W/P 7
1505,02:11:00,Block 24,W/P 5
2225,02:11:00,Block 17,W/P 3
785,02:11:00,Block 26,W/P 3
66,02:12:00,Block 5,W/P 5
2226,02:13:00,W/P 1,Block 5
1506,02:13:00,Block 30,W/P 6
786,02:13:00,Block 30,W/P 4
2946,02:13:00,Block 7,W/P 7
67,02:14:00,Block 13,W/P 1
787,02:15:00,Block 23,W/P 2
1507,02:15:00,Block 25,W/P 3
2227,02:15:00,W/P 3,Block 11
2947,02:15:00,Block 5,W/P 6
68,02:16:00,Block 12,W/P 1
2948,02:17:00,Block 8,W/P 3
788,02:17:00,Block 5,W/P 1
1508,02:17:00,W/P 7,Block 18
2228,02:17:00,Block 4,W/P 7
69,02:18:00,Block 7,W/P 6
2949,02:19:00,Block 8,W/P 7
789,02:19:00,Block 7,W/P 2
1509,02:19:00,Block 25,W/P 2
2229,02:19:00,Block 13,W/P 1
70,02:20:00,Block 15,W/P 7
790,02:21:00,Block 24,W/P 7
2950,02:21:00,Block 21,W/P 5
1510,02:21:00,Block 14,W/P 5
2230,02:21:00,Block 7,W/P 7
71,02:22:00,Block 26,W/P 3
2951,02:23:00,Block 16,W/P 5
2231,02:23:00,Block 1,W/P 5
791,02:23:00,Block 25,W/P 3
1511,02:23:00,Block 7,W/P 5
72,02:24:00,Block 5,W/P 1
792,02:25:00,Block 4,W/P 6
2232,02:25:00,Block 19,W/P 3
1512,02:25:00,Block 10,W/P 2
2952,02:25:00,W/P 6,Block 28
73,02:26:00,Block 6,W/P 4
2233,02:27:00,Block 26,W/P 5
2953,02:27:00,Block 27,W/P 5
1513,02:27:00,Block 29,W/P 6
793,02:27:00,Block 30,W/P 3
74,02:28:00,Block 19,W/P 3
2954,02:29:00,Block 5,W/P 6
2234,02:29:00,Block 1,W/P 4
1514,02:29:00,Block 12,W/P 7
794,02:29:00,Block 16,W/P 4
75,02:30:00,Block 17,W/P 7
2955,02:31:00,W/P 1,Block 32
2235,02:31:00,Block 22,W/P 4
1515,02:31:00,Block 27,W/P 4
795,02:31:00,Block 20,W/P 3
76,02:32:00,Block 2,W/P 3
796,02:33:00,Block 26,W/P 6
1516,02:33:00,W/P 4,Block 10
2236,02:33:00,Block 24,W/P 5
2956,02:33:00,Block 24,W/P 7
77,02:34:00,Block 14,W/P 6
2237,02:35:00,Block 3,W/P 3
797,02:35:00,Block 7,W/P 7
1517,02:35:00,Block 7,W/P 3
2957,02:35:00,Block 12,W/P 7
78,02:36:00,Block 24,W/P 1
2958,02:37:00,Block 8,W/P 3
798,02:37:00,Block 31,W/P 2
2238,02:37:00,Block 26,W/P 4
1518,02:37:00,Block 29,W/P 4
79,02:38:00,Block 23,W/P 3
1519,02:39:00,W/P 7,Block 12
799,02:39:00,Block 6,W/P 2
2239,02:39:00,Block 15,W/P 7
2959,02:39:00,Block 21,W/P 2
80,02:40:00,Block 7,W/P 6
800,02:41:00,Block 24,W/P 6
1520,02:41:00,Block 6,W/P 7
2240,02:41:00,W/P 5,Block 22
2960,02:41:00,Block 3,W/P 4
81,02:42:00,Block 19,W/P 3
2961,02:43:00,Block 15,W/P 5
2241,02:43:00,Block 20,W/P 4
1521,02:43:00,Block 4,W/P 1
801,02:43:00,Block 4,W/P 2
82,02:44:00,Block 19,W/P 3
802,02:45:00,W/P 1,Block 27
1522,02:45:00,Block 14,W/P 6
2962,02:45:00,Block 16,W/P 6
2242,02:45:00,Block 31,W/P 5
83,02:46:00,Block 9,W/P 5
2243,02:47:00,Block 9,W/P 3
1523,02:47:00,Block 6,W/P 5
803,02:47:00,Block 28,W/P 3
2963,02:47:00,W/P 6,Block 22
84,02:48:00,W/P 6,Block 32
2244,02:49:00,Block 18,W/P 5
2964,02:49:00,Block 1,W/P 3
1524,02:49:00,Block 30,W/P 6
804,02:49:00,Block 10,W/P 5
85,02:50:00,Block 8,W/P 3
1525,02:51:00,Block 23,W/P 3
805,02:51:00,Block 27,W/P 6
2965,02:51:00,Block 2,W/P 4
2245,02:51:00,Block 18,W/P 6
86,02:52:00,Block 3,W/P 2
1526,02:53:00,Block 6,W/P 7
2966,02:53:00,Block 12,W/P 2
2246,02:53:00,Block 20,W/P 7
806,02:53:00,Block 7,W/P 7
87,02:54:00,Block 15,W/P 1
807,02:55:00,Block 13,W/P 2
1527,02:55:00,W/P 7,Block 31
2967,02:55:00,Block 10,W/P 6
2247,02:55:00,W/P 3,Block 18
88,02:56:00,Block 27,W/P 6
2248,02:57:00,Block 7,W/P 6
808,02:57:00,W/P 2,Block 18
1528,02:57:00,Block 2,W/P 4
2968,02:57:00,Block 20,W/P 2
89,02:58:00,Block 30,W/P 5
2249,02:59:00,Block 28,W/P 2
809,02:59:00,W/P 2,Block 1
2969,02:59:00,W/P 2,Block 13
1529,02:59:00,Block 32,W/P 3
90,03:00:00,Block 10,W/P 3
2970,03:01:00,Block 26,W/P 1
1530,03:01:00,Block 5,W/P 1
810,03:01:00,Block 5,W/P 6
2250,03:01:00,Block 26,W/P 7
91,03:02:00,Block 21,W/P 3
2971,03:03:00,W/P 3,Block 4
811,03:03:00,Block 5,W/P 7
1531,03:03:00,W/P 6,Block 29
2251,03:03:00,W/P 2,Block 14
92,03:04:00,W/P 4,Block 14
1532,03:05:00,W/P 3,Block 10
812,03:05:00,W/P 6,Block 29
2972,03:05:00,Block 13,W/P 2
2252,03:05:00,Block 15,W/P 6
93,03:06:00,Block 12,W/P 6
1533,03:07:00,Block 32,W/P 2
813,03:07:00,Block 15,W/P 2
2973,03:07:00,Block 23,W/P 7
2253,03:07:00,W/P 6,Block 8
94,03:08:00,Block 4,W/P 6
2974,03:09:00,Block 20,W/P 2
1534,03:09:00,W/P 5,Block 2
2254,03:09:00,Block 29,W/P 2
814,03:09:00,Block 6,W/P 1
95,03:10:00,Block 5,W/P 7
2255,03:11:00,Block 21,W/P 7
2975,03:11:00,W/P 3,Block 11
1535,03:11:00,Block 30,W/P 3
815,03:11:00,W/P 5,Block 9
96,03:12:00,Block 32,W/P 1
1536,03:13:00,W/P 6,Block 14
2256,03:13:00,W/P 2,Block 5
2976,03:13:00,Block 5,W/P 3
816,03:13:00,Block 13,W/P 3
97,03:14:00,Block 3,W/P 1
817,03:15:00,Block 12,W/P 7
2257,03:15:00,Block 22,W/P 2
1537,03:15:00,Block 18,W/P 2
2977,03:15:00,Block 23,W/P 6
98,03:16:00,Block 2,W/P 4
2258,03:17:00,Block 15,W/P 6
818,03:17:00,Block 23,W/P 6
1538,03:17:00,Block 32,W/P 4
2978,03:17:00,Block 18,W/P 4
99,03:18:00,Block 10,W/P 5
2979,03:19:00,Block 5,W/P 4
2259,03:19:00,Block 26,W/P 4
819,03:19:00,Block 26,W/P 3
1539,03:19:00,Block 28,W/P 7
100,03:20:00,Block 29,W/P 5
1540,03:21:00,Block 1,W/P 2
2980,03:21:00,Block 9,W/P 5
2260,03:21:00,Block 26,W/P 7
820,03:21:00,Block 25,W/P 4
101,03:22:00,Block 3,W/P 5
2981,03:23:00,Block 27,W/P 1
1541,03:23:00,Block 7,W/P 5
2261,03:23:00,Block 19,W/P 5
821,03:23:00,Block 7,W/P 5
102,03:24:00,Block 28,W/P 1
1542,03:25:00,Block 21,W/P 2
2262,03:25:00,W/P 6,Block 26
822,03:25:00,Block 19,W/P 1
2982,03:25:00,Block 2,W/P 4
103,03:26:00,W/P 2,Block 8
1543,03:27:00,Block 19,W/P 7
823,03:27:00,Block 27,W/P 6
2263,03:27:00,Block 21,W/P 2
2983,03:27:00,Block 17,W/P 3
104,03:28:00,Block 20,W/P 2
824,03:29:00,Block 18,W/P 7
2984,03:29:00,Block 31,W/P 7
2264,03:29:00,Block 10,W/P 6
1544,03:29:00,Block 11,W/P 5
105,03:30:00,Block 5,W/P 6
2985,03:31:00,W/P 3,Block 1
825,03:31:00,Block 23,W/P 1
2265,03:31:00,W/P 1,Block 22
1545,03:31:00,Block 14,W/P 2
106,03:32:00,Block 3,W/P 7
2986,03:33:00,Block 8,W/P 4
826,03:33:00,Block 9,W/P 7
1546,03:33:00,Block 28,W/P 5
2266,03:33:00,Block 1,W/P 6
107,03:34:00,Block 6,W/P 7
2267,03:35:00,Block 11,W/P 1
2987,03:35:00,W/P 7,Block 17
1547,03:35:00,Block 14,W/P 3
827,03:35:00,Block 29,W/P 7
108,03:36:00,Block 27,W/P 5
2988,03:37:00,Block 26,W/P 6
1548,03:37:00,Block 15,W/P 4
828,03:37:00,Block 21,W/P 7
2268,03:37:00,Block 22,W/P 4
109,03:38:00,Block 23,W/P 1
2269,03:39:00,Block 3,W/P 1
1549,03:39:00,Block 7,W/P 1
2989,03:39:00,Block 17,W/P 7
829,03:39:00,Block 30,W/P 5
110,03:40:00,Block 2,W/P 6
2990,03:41:00,Block 18,W/P 4
2270,03:41:00,W/P 1,Block 15
830,03:41:00,Block 30,W/P 5
1550,03:41:00,Block 13,W/P 7
111,03:42:00,Block 25,W/P 3
2991,03:43:00,Block 22,W/P 3
1551,03:43:00,Block 2,W/P 3
2271,03:43:00,Block 6,W/P 6
831,03:43:00,Block 6,W/P 7
112,03:44:00,Block 24,W/P 3
832,03:45:00,Block 31,W/P 3
1552,03:45:00,Block 29,W/P 6
2992,03:45:00,Block 22,W/P 4
2272,03:45:00,Block 29,W/P 7
113,03:46:00,W/P 2,Block 22
833,03:47:00,Block 8,W/P 2
1553,03:47:00,Block 9,W/P 6
2993,03:47:00,W/P 7,Block 25
2273,03:47:00,Block 2,W/P 2
114,03:48:00,Block 25,W/P 3
834,03:49:00,Block 13,W/P 5
1554,03:49:00,Block 4,W/P 1
2994,03:49:00,Block 19,W/P 2
2274,03:49:00,W/P 7,Block 27
115,03:50:00,Block 27,W/P 7
835,03:51:00,Block 31,W/P 5
1555,03:51:00,Block 13,W/P 1
2275,03:51:00,Block 20,W/P 2
2995,03:51:00,Block 1,W/P 1
116,03:52:00,Block 12,W/P 6
836,03:53:00,Block 10,W/P 7
1556,03:53:00,Block 3,W/P 5
2276,03:53:00,Block 5,W/P 1
2996,03:53:00,Block 27,W/P 1
117,03:54:00,W/P 4,Block 16
2277,03:55:00,Block 17,W/P 7
837,03:55:00,W/P 6,Block 21
1557,03:55:00,Block 12,W/P 5
2997,03:55:00,Block 21,W/P 6
118,03:56:00,Block 14,W/P 2
2998,03:57:00,Block 25,W/P 5
838,03:57:00,Block 29,W/P 5
2278,03:57:00,Block 23,W/P 5
1558,03:57:00,Block 16,W/P 3
119,03:58:00,Block 22,W/P 6
839,03:59:00,Block 30,W/P 7
2279,03:59:00,Block 24,W/P 3
1559,03:59:00,Block 26,W/P 7
2999,03:59:00,Block 29,W/P 4
120,04:00:00,Block 11,W/P 4
840,04:01:00,Block 4,W/P 2
3000,04:01:00,Block 26,W/P 2
2280,04:01:00,Block 17,W/P 3
1560,04:01:00,Block 18,W/P 7
121,04:02:00,Block 25,W/P 3
2281,04:03:00,Block 24,W/P 2
3001,04:03:00,Block 32,W/P 4
1561,04:03:00,Block 2,W/P 1
841,04:03:00,Block 20,W/P 7
122,04:04:00,W/P 6,Block 31
1562,04:05:00,Block 5,W/P 2
842,04:05:00,Block 14,W/P 4
3002,04:05:00,Block 1,W/P 4
2282,04:05:00,Block 13,W/P 2
123,04:06:00,Block 21,W/P 5
3003,04:07:00,Block 22,W/P 6
843,04:07:00,Block 11,W/P 2
1563,04:07:00,W/P 7,Block 31
2283,04:07:00,Block 9,W/P 6
124,04:08:00,W/P 6,Block 26
2284,04:09:00,W/P 7,Block 22
1564,04:09:00,Block 23,W/P 2
844,04:09:00,Block 23,W/P 4
3004,04:09:00,W/P 2,Block 27
125,04:10:00,Block 9,W/P 5
3005,04:11:00,Block 22,W/P 2
1565,04:11:00,Block 8,W/P 6
845,04:11:00,Block 25,W/P 3
2285,04:11:00,Block 7,W/P 5
126,04:12:00,Block 14,W/P 2
1566,04:13:00,Block 32,W/P 1
2286,04:13:00,Block 32,W/P 6
3006,04:13:00,Block 24,W/P 5
846,04:13:00,Block 20,W/P 5
127,04:14:00,Block 13,W/P 6
2287,04:15:00,W/P 6,Block 8
3007,04:15:00,Block 10,W/P 1
847,04:15:00,Block 31,W/P 1
1567,04:15:00,Block 25,W/P 1
128,04:16:00,Block 15,W/P 3
2288,04:17:00,Block 5,W/P 4
848,04:17:00,Block 5,W/P 2
3008,04:17:00,Block 21,W/P 2
1568,04:17:00,Block 16,W/P 2
129,04:18:00,Block 20,W/P 4
3009,04:19:00,Block 1,W/P 5
1569,04:19:00,Block 32,W/P 5
2289,04:19:00,Block 22,W/P 1
849,04:19:00,Block 11,W/P 2
130,04:20:00,Block 17,W/P 3
850,04:21:00,Block 23,W/P 2
1570,04:21:00,Block 11,W/P 5
2290,04:21:00,Block 28,W/P 2
3010,04:21:00,W/P 2,Block 21
131,04:22:00,Block 3,W/P 5
3011,04:23:00,Block 19,W/P 7
2291,04:23:00,Block 10,W/P 1
851,04:23:00,Block 32,W/P 6
1571,04:23:00,Block 14,W/P 6
132,04:24:00,Block 18,W/P 4
852,04:25:00,Block 18,W/P 5
3012,04:25:00,Block 12,W/P 2
1572,04:25:00,Block 27,W/P 6
2292,04:25:00,Block 7,W/P 2
133,04:26:00,Block 29,W/P 6
1573,04:27:00,W/P 1,Block 28
2293,04:27:00,Block 30,W/P 5
3013,04:27:00,Block 30,W/P 1
853,04:27:00,Block 26,W/P 1
134,04:28:00,Block 18,W/P 7
3014,04:29:00,Block 22,W/P 4
854,04:29:00,Block 12,W/P 1
2294,04:29:00,Block 31,W/P 4
1574,04:29:00,Block 18,W/P 5
135,04:30:00,Block 5,W/P 6
3015,04:31:00,Block 22,W/P 2
1575,04:31:00,W/P 1,Block 7
2295,04:31:00,Block 22,W/P 7
855,04:31:00,Block 14,W/P 6
136,04:32:00,Block 29,W/P 5
2296,04:33:00,Block 24,W/P 7
856,04:33:00,Block 5,W/P 7
1576,04:33:00,Block 22,W/P 2
3016,04:33:00,Block 2,W/P 3
137,04:34:00,Block 20,W/P 1
2297,04:35:00,Block 25,W/P 7
857,04:35:00,W/P 6,Block 12
1577,04:35:00,Block 28,W/P 5
3017,04:35:00,Block 3,W/P 3
138,04:36:00,W/P 2,Block 11
3018,04:37:00,W/P 5,Block 24
858,04:37:00,Block 28,W/P 1
1578,04:37:00,Block 32,W/P 3
2298,04:37:00,Block 23,W/P 3
139,04:38:00,Block 1,W/P 6
859,04:39:00,Block 18,W/P 5
3019,04:39:00,Block 30,W/P 1
1579,04:39:00,W/P 7,Block 8
2299,04:39:00,Block 8,W/P 6
140,04:40:00,Block 19,W/P 6
1580,04:41:00,Block 6,W/P 5
3020,04:41:00,Block 25,W/P 1
2300,04:41:00,Block 4,W/P 4
860,04:41:00,W/P 1,Block 3
141,04:42:00,W/P 6,Block 3
1581,04:43:00,W/P 7,Block 19
2301,04:43:00,Block 12,W/P 6
861,04:43:00,Block 18,W/P 2
3021,04:43:00,Block 22,W/P 7
142,04:44:00,Block 11,W/P 2
2302,04:45:00,Block 18,W/P 6
1582,04:45:00,Block 16,W/P 7
